2010/09/01,811.4,811.4,811.4,811.4,811.4,811.4
2010/09/02,819.42,819.42,819.42,819.42,819.42,819.42
2010/09/03,823.7,823.7,823.7,823.7,823.7,823.7
2010/09/06,838.71,838.71,838.71,838.71,838.71,838.71
2010/09/07,834.92,834.92,834.92,834.92,834.92,834.92
2010/09/08,820.99,820.99,820.99,820.99,820.99,820.99
2010/09/09,826.84,826.84,826.84,826.84,826.84,826.84
2010/09/10,833.72,833.72,833.72,833.72,833.72,833.72
2010/09/13,837.65,837.65,837.65,837.65,837.65,837.65
2010/09/14,834.87,834.87,834.87,834.87,834.87,834.87
2010/09/15,848.64,848.64,848.64,848.64,848.64,848.64
2010/09/16,844.71,844.71,844.71,844.71,844.71,844.71
2010/09/17,852.09,852.09,852.09,852.09,852.09,852.09
2010/09/21,849.94,849.94,849.94,849.94,849.94,849.94
2010/09/22,846.52,846.52,846.52,846.52,846.52,846.52
2010/09/24,838.41,838.41,838.41,838.41,838.41,838.41
2010/09/27,849.3,849.3,849.3,849.3,849.3,849.3
2010/09/28,842.65,842.65,842.65,842.65,842.65,842.65
2010/09/29,846.97,846.97,846.97,846.97,846.97,846.97
2010/09/30,829.51,829.51,829.51,829.51,829.51,829.51
2010/10/01,829.97,829.97,829.97,829.97,829.97,829.97
2010/10/04,822.74,822.74,822.74,822.74,822.74,822.74
2010/10/05,832.64,832.64,832.64,832.64,832.64,832.64
2010/10/06,844.5,844.5,844.5,844.5,844.5,844.5
2010/10/07,846.06,846.06,846.06,846.06,846.06,846.06
2010/10/08,839.44,839.44,839.44,839.44,839.44,839.44
2010/10/12,824.6,824.6,824.6,824.6,824.6,824.6
2010/10/13,822.65,822.65,822.65,822.65,822.65,822.65
2010/10/14,836.95,836.95,836.95,836.95,836.95,836.95
2010/10/15,826.38,826.38,826.38,826.38,826.38,826.38
2010/10/18,830.52,830.52,830.52,830.52,830.52,830.52
2010/10/19,833.73,833.73,833.73,833.73,833.73,833.73
2010/10/20,823.69,823.69,823.69,823.69,823.69,823.69
2010/10/21,820.4,820.4,820.4,820.4,820.4,820.4
2010/10/22,824.88,824.88,824.88,824.88,824.88,824.88
2010/10/25,821.23,821.23,821.23,821.23,821.23,821.23
2010/10/26,817.94,817.94,817.94,817.94,817.94,817.94
2010/10/27,817.76,817.76,817.76,817.76,817.76,817.76
2010/10/28,814.33,814.33,814.33,814.33,814.33,814.33
2010/10/29,810.91,810.91,810.91,810.91,810.91,810.91
2010/11/01,803.3,803.3,803.3,803.3,803.3,803.3
2010/11/02,803.12,803.12,803.12,803.12,803.12,803.12
2010/11/04,816.33,816.33,816.33,816.33,816.33,816.33
2010/11/05,834.98,834.98,834.98,834.98,834.98,834.98
2010/11/08,841.74,841.74,841.74,841.74,841.74,841.74
2010/11/09,839.95,839.95,839.95,839.95,839.95,839.95
2010/11/10,852.98,852.98,852.98,852.98,852.98,852.98
2010/11/11,856.37,856.37,856.37,856.37,856.37,856.37
2010/11/12,846.98,846.98,846.98,846.98,846.98,846.98
2010/11/15,851.56,851.56,851.56,851.56,851.56,851.56
2010/11/16,847.77,847.77,847.77,847.77,847.77,847.77
2010/11/17,850.3,850.3,850.3,850.3,850.3,850.3
2010/11/18,868.81,868.81,868.81,868.81,868.81,868.81
2010/11/19,869.52,869.52,869.52,869.52,869.52,869.52
2010/11/22,875.48,875.48,875.48,875.48,875.48,875.48
2010/11/24,866.57,866.57,866.57,866.57,866.57,866.57
2010/11/25,869.81,869.81,869.81,869.81,869.81,869.81
2010/11/26,866.81,866.81,866.81,866.81,866.81,866.81
2010/11/29,874.59,874.59,874.59,874.59,874.59,874.59
2010/11/30,860.94,860.94,860.94,860.94,860.94,860.94
2010/12/01,866.07,866.07,866.07,866.07,866.07,866.07
2010/12/02,877.21,877.21,877.21,877.21,877.21,877.21
2010/12/03,879.22,879.22,879.22,879.22,879.22,879.22
2010/12/06,881.41,881.41,881.41,881.41,881.41,881.41
2010/12/07,879.1,879.1,879.1,879.1,879.1,879.1
2010/12/08,887.39,887.39,887.39,887.39,887.39,887.39
2010/12/09,891.6,891.6,891.6,891.6,891.6,891.6
2010/12/10,888.22,888.22,888.22,888.22,888.22,888.22
